CODI_PARADA;DISTANCIA_PAR_ANTERIOR;CODI_LINIA;NOM_LINIA;ID_SENTIT;GEOMETRY
471;250,16278;250;D50;1;POINT (2.1807603749707747 41.44744870922103)
753;135,69784;250;D50;1;POINT (2.1817631050431494 41.44839629710887)
1950;143,60545;250;D50;1;POINT (2.1832512594816276 41.44816170715165)
1644;192,24988;250;D50;1;POINT (2.1852628125269997 41.447866861624355)
1621;186,42091;250;D50;1;POINT (2.186128897467607 41.449414410590215)
624;219,88247;250;D50;1;POINT (2.187398657804103 41.451127928565676)
3770;254,88802;250;D50;1;POINT (2.1867004950236 41.45297768557786)
2327;768,42383;250;D50;1;POINT (2.184010981053819 41.458429862322866)
2328;438,99793;250;D50;1;POINT (2.180416756933321 41.461285273005714)
2330;196,28594;250;D50;1;POINT (2.1784942491157655 41.46157177086797)
2331;210,94301;250;D50;1;POINT (2.1766824625122934 41.460281359849034)
1595;146,5831;250;D50;1;POINT (2.176256018219936 41.45932660770174)
1595;0;250;D50;2;POINT (2.176256018219936 41.45932660770174)
1705;335,62302;250;D50;2;POINT (2.1793948940152905 41.46118147191703)
2281;137,06499;250;D50;2;POINT (2.1807076103539003 41.46093029605893)
2282;402,02268;250;D50;2;POINT (2.1839498915805025 41.45836837117866)
3769;797,81782;250;D50;2;POINT (2.1865295280951575 41.45272482936079)
1622;229,04198;250;D50;2;POINT (2.187922253278301 41.45140601646217)
1168;244,91042;250;D50;2;POINT (2.187541045054818 41.449237471616755)
82;258,90503;250;D50;2;POINT (2.185429966979869 41.449496023470374)
2985;148,43706;250;D50;2;POINT (2.18405685290984 41.45011489077953)
752;212,19563;250;D50;2;POINT (2.182143268343419 41.448922778906415)
1548;219,29086;250;D50;2;POINT (2.180499623782765 41.44738270980999)
810;298,49972;250;D50;2;POINT (2.178940882721541 41.44499991322286)
808;289,97126;250;D50;2;POINT (2.177865711203276 41.44251653441927)
804;271,14955;250;D50;2;POINT (2.176252522076879 41.44042067369489)
819;365,46285;250;D50;2;POINT (2.174051478141843 41.43775644928861)
306;252,64605;250;D50;2;POINT (2.172374550610133 41.43586911463085)
773;294,97995;250;D50;2;POINT (2.1730549389284635 41.433421404695785)
1589;330,36843;250;D50;2;POINT (2.1744909970853095 41.43077066084366)
1958;302,29133;250;D50;2;POINT (2.1747007667350786 41.428098174316574)
1095;215,26463;250;D50;2;POINT (2.1758739443377344 41.42639993364296)
1232;265,94968;250;D50;2;POINT (2.1770858702228146 41.4242419829872)
1345;293,09955;250;D50;2;POINT (2.1790917271336294 41.422076265308604)
1660;399,34635;250;D50;2;POINT (2.180476213479116 41.418880342941165)
859;426,21101;250;D50;2;POINT (2.1796682001466987 41.41526944447349)
233;316,61465;250;D50;2;POINT (2.17698222701601 41.413256705008955)
635;247,91141;250;D50;2;POINT (2.1759785312957836 41.41156999076191)
1143;273,39422;250;D50;2;POINT (2.178277479786712 41.40981681065649)
234;391,51683;250;D50;2;POINT (2.180416895405847 41.407311309349694)
1072;270,76553;250;D50;2;POINT (2.178123682749587 41.40559041282788)
1297;257,75111;250;D50;2;POINT (2.175936919630538 41.40395439267403)
3341;422,54614;250;D50;2;POINT (2.172350105446734 41.40127294083512)
1492;401,19684;250;D50;2;POINT (2.1704290720678965 41.398624192133994)
3391;247,90484;250;D50;2;POINT (2.172521703865627 41.39704213179421)
315;254,52073;250;D50;2;POINT (2.174670985042732 41.39541858952158)
3241;509,23284;250;D50;2;POINT (2.178677809663076 41.39240078097583)
148;365,23424;250;D50;2;POINT (2.175962376494219 41.390248726563414)
1069;299,02004;250;D50;2;POINT (2.172785700915153 41.389020284625204)
1210;322,704;250;D50;2;POINT (2.169316231437628 41.38775693199625)
1124;377,4247;250;D50;2;POINT (2.165264171775743 41.38626198809141)
3378;404,77654;250;D50;2;POINT (2.1626835961327306 41.383412017637156)
1366;285,03353;250;D50;2;POINT (2.161561295152805 41.381507174652164)
1636;243,37007;250;D50;2;POINT (2.162654315962558 41.3799687176988)
1058;509,08639;250;D50;2;POINT (2.161440230222436 41.37648061080463)
770;341,76992;250;D50;2;POINT (2.164506492637661 41.37486616097471)
1061;211,94796;250;D50;2;POINT (2.1670408277530555 41.37486065687178)
3690;294,82971;250;D50;2;POINT (2.1661599911320764 41.37648599264198)
2557;0;202;H2;1;POINT (2.104893896575636 41.3854832105608)
761;267,26012;202;H2;1;POINT (2.106660749823554 41.387484013832946)
1025;339,70511;202;H2;1;POINT (2.1080937724913644 41.389977734028584)
922;1424,76568;202;H2;1;POINT (2.1148357735413783 41.401583462260426)
1538;330,61742;202;H2;1;POINT (2.117183466082915 41.40395846532665)
70;385,39004;202;H2;1;POINT (2.120595640754426 41.40600178384615)
74;442,68801;202;H2;1;POINT (2.124256353415615 41.40884445852506)
71;265,7112;202;H2;1;POINT (2.126513244073167 41.410478660021866)
2933;449,98691;202;H2;1;POINT (2.1304653099164916 41.41322101440347)
3189;295,57663;202;H2;1;POINT (2.133410735783653 41.41436629507455)
1196;211,2716;202;H2;1;POINT (2.135836458945553 41.41489457657879)
534;245,12741;202;H2;1;POINT (2.1382620127469254 41.41449581491972)
1003;225,37346;202;H2;1;POINT (2.13822604754505 41.416211046958324)
605;266,79955;202;H2;1;POINT (2.1394147032240336 41.418432288161505)
1702;409,96618;202;H2;1;POINT (2.1416325838975565 41.42146583315446)
749;217,90778;202;H2;1;POINT (2.143729912693061 41.42075434970913)
164;267,78266;202;H2;1;POINT (2.146678885938338 41.42168981635833)
1324;268,55655;202;H2;1;POINT (2.1488148631852457 41.42323838187794)
