Parada origen;Parada destino;Total (min);En autobús (min);A pie (min);Esperas (min);Veh. usados;Uso de línea ortogonal?;Uso de V+H?;Espera por vehículo;Lineas
435;1711;45,10330114259875;25,622037646400003;10,189619440001227;9,291644056197528;1;0;0;9,291644056197528;['60']
731;3191;50,77581266301574;45,2700356208;1,0474063599990302;4,45837068221671;2;1;0;2,229185341108355;['H4', 'H2']
1284;3635;56,63119210352721;48,60846219013333;1,3214801599978685;6,701249753396011;3;1;0;2,2337499177986704;['D20', 'V15', '27']
216;3582;38,621222275880754;28,78342940631111;4,210366159987188;5,627426709582457;3;1;1;1,8758089031941523;['V21', 'H6', 'V9']
1549;1341;13,892153050219726;6,433400171288888;5,733327600007954;1,7254252789228843;1;0;0;1,7254252789228843;['11']
826;27;38,166973722144434;23,354378999466668;7,822214400005194;6,99038032267257;1;1;0;6,99038032267257;['V23']
22;3778;111,0335243060351;71,63845172773333;7,490362880001567;31,904709698300206;3;0;0;10,634903232766735;['27', '60', '96']
1307;2246;75,35400627258554;48,25617195217777;16,77183507999626;10,325999240411502;3;1;1;3,441999746803834;['H8', 'V3', 'V1']
3558;3144;68,01731979827166;49,23354358755555;7,922955039998222;10,860821170717887;3;1;0;3,620273723572629;['H8', '62', '97']
1449;3834;27,577164976639914;11,75507555768889;14,170356200006319;1,6517332189447047;1;1;0;1,6517332189447047;['H6']
2575;56;68,80151550021577;57,20570752773333;2,499256760002623;9,096551212479815;4;1;1;2,2741378031199537;['V33', '60', 'H12', '59']
1204;2600;23,66501001336009;17,05605880408889;0;6,608951209271195;1;0;0;6,608951209271195;['60']
147;1735;66,46832719741136;35,15391204844444;25,884418560002857;5,429996588964058;2;1;0;2,714998294482029;['47', 'V29']
1260;1620;36,46768642775064;18,853920505511113;11,361470120004494;6,252295802235037;2;1;0;3,1261479011175184;['24', 'D50']
1444;1657;65,56494210001117;35,51323082808889;17,685908239999016;12,36580303192326;3;1;0;4,12193434397442;['H2', '63', '68']
1109;3266;43,39960884694383;35,49571772782221;6,327401079998886;1,576490039122728;1;0;0;1,576490039122728;['6']
3305;264;28,543824822246943;13,076626192266666;9,948138199996418;5,51906042998386;1;1;0;5,51906042998386;['D20']
2266;1224;29,75212778907967;16,743996087911114;10,36591556001271;2,6422161411558482;2;1;0;1,3211080705779241;['7', 'V25']
589;406;32,87182119801205;20,865784957066666;8,834065239996622;3,1719710009487616;1;1;0;3,1719710009487616;['H4']
2188;960;70,18284905409242;47,894518863111095;12,247395160013195;10,040935030968123;3;1;1;3,346978343656041;['46', 'H12', 'V15']
387;504;17,594463798037665;13,814113756355557;2,4118494400002746;1,3685006016818337;1;0;0;1,3685006016818337;['33']
272;2547;52,75783640850899;23,710063139111107;23,395532159989187;5,652241109408699;3;1;1;1,8840803698028996;['V25', 'V27', 'H12']
2604;3751;88,97125785587448;51,77212622213333;24,210346160007024;12,988785473734133;3;1;0;4,329595157911378;['27', 'H2', '78']
423;1555;35,90133248710629;18,676890092355556;15,274058799992824;1,950383594757911;1;1;0;1,950383594757911;['D40']
1939;647;54,19802291020582;35,63284930106667;3,543700160003873;15,021473449135282;3;1;1;5,007157816378427;['H6', 'V3', '65']
3474;2307;49,776615074044;26,672345442844446;20,441461039997996;2,6628085912015638;2;1;0;1,3314042956007819;['V13', 'V9']
1610;3791;95,70677124528184;76,83689667351113;6,294808520000245;12,575066051770474;4;1;1;3,1437665129426184;['109', 'V3', '70', 'H4']
195;1002;26,769933709382645;16,966311277244444;8,060732679995766;1,7428897521424354;1;1;0;1,7428897521424354;['H2']
1906;1741;83,57131034368919;69,86167835359998;10,484433960008872;3,2251980300803273;2;1;0;1,6125990150401637;['D40', '109']
1025;2668;51,67435404027663;41,47457953013333;4,471106639998631;5,728667870144668;3;1;0;1,9095559567148894;['63', '33', 'H8']
3294;2618;40,76885956586551;24,786101468;2,6059233199859513;13,376834777879562;2;1;0;6,688417388939781;['23', 'D20']
1713;1158;72,55310092583939;61,00311843706666;3,002959960002633;8,547022528770096;3;1;1;2,8490075095900322;['54', 'H8', 'V31']
1285;1302;16,231470424162158;5,935996901866665;8,090362279995304;2,2051112423001884;1;1;0;2,2051112423001884;['H16']
1883;3274;110,0995239197742;85,81528277324443;10,37776740001831;13,906473746511452;3;1;0;4,635491248837151;['H6', '97', '96']
1217;1468;44,588678636420035;18,360367616977776;17,549612080004962;8,678698939437297;2;1;0;4,339349469718648;['D40', 'V13']
1213;1908;64,10822974800908;44,242015157244445;12,180728560001238;7,685486030763401;1;0;0;7,685486030763401;['96']
146;100;16,18128707346497;4,615155618933333;8,16591776000455;3,400213694527085;1;0;0;3,400213694527085;['33']
1982;25;70,54775010533245;55,660428380355555;8,559991439997786;6,327330284979111;2;1;0;3,1636651424895557;['D40', '27']
202;3054;71,3872287385517;49,011462235822236;19,213314119992763;3,1624523827366984;2;1;0;1,5812261913683492;['H6', '62']
267;1452;86,40030911319025;54,518838840088875;17,737760039997717;14,143710233103649;2;1;0;7,071855116551824;['H2', '96']
1666;965;24,04590187999325;0;24,04590187999325;0;0;0;0;0;[]
2281;1090;55,23639877723563;38,01310295333334;9,69480511999325;7,528490703909042;3;1;0;2,509496901303014;['62', 'V27', '7']
